dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.442269,9.970174,0.000656,0.065593,3.279668,163.983399,6.281963
0.020000,4.442186,9.970174,0.000739,0.004158,-3.071754,-317.571101,6.282201
0.020000,4.442019,9.970174,0.000905,0.008313,0.207747,163.975034,6.282676
0.020000,4.444008,9.970175,0.002894,0.099429,4.555777,217.401536,0.000202
0.020000,4.454171,9.970181,0.013057,0.508141,20.435593,793.990781,0.001151
0.020000,4.466875,9.970204,0.025761,0.635206,6.353286,-704.115340,0.002336
0.020000,4.482120,9.970250,0.041006,0.762264,6.352861,-0.021244,0.003756
0.020000,4.499907,9.970332,0.058794,0.889370,6.355346,0.124259,0.005410
0.020000,4.520236,9.970461,0.079123,1.016468,6.354879,-0.023361,0.007297
0.020000,4.543108,9.970652,0.101995,1.143600,6.356589,0.085493,0.009416
0.020000,4.568521,9.970921,0.127410,1.270749,6.357448,0.042922,0.011765
0.020000,4.596478,9.971286,0.155369,1.397942,6.359679,0.111591,0.014343
0.020000,4.626977,9.971766,0.185872,1.525165,6.361146,0.073313,0.017148
0.020000,4.660019,9.972383,0.218920,1.652404,6.361929,0.039166,0.020177
0.020000,4.695606,9.973159,0.254515,1.779738,6.366684,0.237745,0.023428
0.020000,4.733735,9.974119,0.292656,1.907067,6.366450,-0.011701,0.026898
0.020000,4.774407,9.975288,0.333346,2.034466,6.369986,0.176807,0.030585
0.020000,4.817623,9.976695,0.376584,2.161923,6.372853,0.143336,0.034485
0.020000,4.863381,9.978367,0.422373,2.289427,6.375167,0.115691,0.038595
0.020000,4.911681,9.980337,0.470713,2.417026,6.379967,0.240042,0.042910
0.020000,4.962523,9.982635,0.521606,2.544663,6.381825,0.092904,0.047428
0.020000,5.015904,9.985295,0.575054,2.672399,6.386808,0.249120,0.052143
0.020000,5.071825,9.988351,0.631059,2.800224,6.391246,0.221898,0.057051
0.020000,5.130284,9.991840,0.689621,2.928129,6.395284,0.201926,0.062146
0.020000,5.191278,9.995797,0.750744,3.056111,6.399068,0.189201,0.067424
0.020000,5.254806,10.000261,0.814428,3.184244,6.406690,0.381081,0.072877
0.020000,5.320866,10.005271,0.880677,3.312450,6.410300,0.180492,0.078500
0.020000,5.389453,10.010866,0.949493,3.440783,6.416618,0.315903,0.084286
0.020000,5.460567,10.017087,1.020878,3.569237,6.422694,0.303825,0.090227
0.020000,5.534202,10.023976,1.094835,3.697845,6.430407,0.385615,0.096317
0.020000,5.610355,10.031574,1.171366,3.826562,6.435862,0.272760,0.102547
0.020000,5.689022,10.039922,1.250475,3.955456,6.444718,0.442819,0.108908
0.020000,5.770199,10.049065,1.332165,4.084490,6.451662,0.347200,0.115393
0.020000,5.853880,10.059045,1.416439,4.213694,6.460204,0.427069,0.121990
0.020000,5.940060,10.069905,1.503300,4.343069,6.468761,0.427856,0.128692
0.020000,6.028733,10.081687,1.592752,4.472614,6.477261,0.425031,0.135487
0.020000,6.119893,10.094434,1.684799,4.602352,6.486915,0.482702,0.142364
0.020000,6.213534,10.108190,1.779445,4.732289,6.496846,0.496554,0.149313
0.020000,6.309649,10.122994,1.876694,4.862427,6.506872,0.501256,0.156322
0.020000,6.408231,10.138889,1.976549,4.992768,6.517072,0.510041,0.163380
0.020000,6.509273,10.155916,2.079016,5.123323,6.527752,0.533979,0.170473
0.020000,6.612767,10.174112,2.184098,5.254105,6.539087,0.566756,0.177589
0.020000,6.718707,10.193518,2.291800,5.385115,6.550492,0.570245,0.184716
0.020000,6.827084,10.214169,2.402127,5.516357,6.562102,0.580521,0.191839
0.020000,6.937891,10.236102,2.515084,5.647841,6.574207,0.605227,0.198946
0.020000,7.051121,10.259349,2.630675,5.779567,6.586283,0.603784,0.206022
0.020000,7.166765,10.283944,2.748906,5.911545,6.598914,0.631570,0.213052
0.020000,7.284817,10.309916,2.869782,6.043776,6.611556,0.632101,0.220023
0.020000,7.405271,10.337294,2.993307,6.176266,6.624500,0.647216,0.226919
0.020000,7.528118,10.366102,3.119487,6.309019,6.637640,0.656984,0.233725
0.020000,7.653355,10.396365,3.248328,6.442035,6.650789,0.657424,0.240428
0.020000,7.780974,10.428102,3.379835,6.575323,6.664396,0.680389,0.247010
0.020000,7.910972,10.461331,3.514012,6.708880,6.677862,0.673288,0.253457
0.020000,8.043344,10.496067,3.650866,6.842710,6.691521,0.682948,0.259752
0.020000,8.178088,10.532322,3.790403,6.976816,6.705281,0.688007,0.265881
0.020000,8.315202,10.570104,3.932627,7.111203,6.719334,0.702638,0.271827
0.020000,8.454685,10.609418,4.077544,7.245869,6.733301,0.698375,0.277574
0.020000,8.596538,10.650265,4.225161,7.380818,6.747458,0.707842,0.283107
0.020000,8.740762,10.692642,4.375481,7.516048,6.761532,0.703663,0.288408
