dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.441841,9.620174,0.000656,0.065593,3.279668,163.983399,6.281963
0.020000,4.441841,9.620174,0.003280,0.196780,6.559336,163.983399,6.282201
0.020000,4.441841,9.620174,0.008527,0.327967,6.559336,0.000000,6.282676
0.020000,4.444079,9.620175,0.016398,0.459154,6.559336,0.000000,0.000202
0.020000,4.454574,9.620182,0.026893,0.590340,6.559336,0.000000,0.001151
0.020000,4.467692,9.620205,0.040012,0.721527,6.559336,0.000000,0.002336
0.020000,4.483435,9.620252,0.055754,0.852714,6.559336,-0.000000,0.003756
0.020000,4.501801,9.620337,0.074120,0.983900,6.559336,0.000000,0.005410
0.020000,4.522790,9.620470,0.095110,1.115087,6.559336,-0.000000,0.007297
0.020000,4.546403,9.620667,0.118724,1.246274,6.559336,0.000000,0.009416
0.020000,4.572639,9.620945,0.144961,1.377461,6.559336,0.000000,0.011765
0.020000,4.601498,9.621322,0.173822,1.508647,6.559336,-0.000000,0.014343
0.020000,4.632979,9.621818,0.205307,1.639834,6.559336,0.000000,0.017148
0.020000,4.667081,9.622454,0.239416,1.771021,6.559336,-0.000000,0.020177
0.020000,4.703805,9.623255,0.276148,1.902207,6.559336,0.000000,0.023428
0.020000,4.743148,9.624245,0.315504,2.033394,6.559336,0.000000,0.026898
0.020000,4.785110,9.625452,0.357484,2.164581,6.559336,-0.000000,0.030585
0.020000,4.829690,9.626903,0.402087,2.295768,6.559336,0.000000,0.034485
0.020000,4.876886,9.628628,0.449315,2.426954,6.559336,0.000000,0.038595
0.020000,4.926695,9.630659,0.499165,2.558141,6.559336,0.000000,0.042910
0.020000,4.979116,9.633029,0.551640,2.689328,6.559336,0.000000,0.047428
0.020000,5.034146,9.635771,0.606739,2.820514,6.559336,0.000000,0.052143
0.020000,5.091783,9.638921,0.664461,2.951701,6.559336,0.000000,0.057051
0.020000,5.152021,9.642516,0.724807,3.082888,6.559336,0.000000,0.062146
0.020000,5.214858,9.646592,0.787776,3.214075,6.559336,-0.000000,0.067424
0.020000,5.280291,9.651190,0.853370,3.345261,6.559336,0.000000,0.072877
0.020000,5.348312,9.656349,0.921587,3.476448,6.559336,0.000000,0.078500
0.020000,5.418918,9.662109,0.992428,3.607635,6.559336,0.000000,0.084286
0.020000,5.492103,9.668511,1.065892,3.738822,6.559336,0.000000,0.090227
0.020000,5.567861,9.675598,1.141980,3.870008,6.559336,0.000000,0.096317
0.020000,5.646184,9.683412,1.220692,4.001195,6.559336,0.000000,0.102547
0.020000,5.727065,9.691996,1.302028,4.132382,6.559336,-0.000000,0.108908
0.020000,5.810497,9.701393,1.385988,4.263568,6.559336,0.000000,0.115393
0.020000,5.896471,9.711646,1.472571,4.394755,6.559336,0.000000,0.121990
0.020000,5.984978,9.722799,1.561778,4.525942,6.559336,0.000000,0.128692
0.020000,6.076008,9.734894,1.653609,4.657129,6.559336,0.000000,0.135487
0.020000,6.169552,9.747975,1.748063,4.788315,6.559336,0.000000,0.142364
0.020000,6.265599,9.762084,1.845141,4.919502,6.559336,0.000000,0.149313
0.020000,6.364139,9.777262,1.944843,5.050689,6.559336,0.000000,0.156322
0.020000,6.465160,9.793550,2.047169,5.181875,6.559336,0.000000,0.163380
0.020000,6.568650,9.810989,2.152118,5.313062,6.559336,-0.000000,0.170473
0.020000,6.674598,9.829617,2.259691,5.444249,6.559336,0.000000,0.177589
0.020000,6.782991,9.849472,2.369888,5.575436,6.559336,0.000000,0.184716
0.020000,6.893817,9.870590,2.482709,5.706622,6.559336,0.000000,0.191839
0.020000,7.007064,9.893005,2.598153,5.837809,6.559336,0.000000,0.198946
0.020000,7.122719,9.916751,2.716221,5.968996,6.559336,-0.000000,0.206022
0.020000,7.240770,9.941858,2.836913,6.100182,6.559336,0.000000,0.213052
0.020000,7.361206,9.968354,2.960228,6.231369,6.559336,-0.000000,0.220023
0.020000,7.484012,9.996266,3.086168,6.362556,6.559336,0.000000,0.226919
0.020000,7.609180,10.025619,3.214731,6.493743,6.559336,0.000000,0.233725
0.020000,7.736696,10.056432,3.345917,6.624929,6.559336,-0.000000,0.240428
0.020000,7.866551,10.088725,3.479728,6.756116,6.559336,0.000000,0.247010
0.020000,7.998735,10.122513,3.616162,6.887303,6.559336,-0.000000,0.253457
0.020000,8.133239,10.157809,3.755220,7.018489,6.559336,0.000000,0.259752
0.020000,8.270054,10.194621,3.896901,7.149676,6.559336,0.000000,0.265881
0.020000,8.409174,10.232956,4.041207,7.280863,6.559336,0.000000,0.271827
0.020000,8.550593,10.272815,4.188136,7.412050,6.559336,0.000000,0.277574
0.020000,8.694307,10.314198,4.337689,7.543236,6.559336,0.000000,0.283107
0.020000,8.840311,10.357098,4.489865,7.674423,6.559336,-0.000000,0.288408
0.020000,8.988604,10.401506,4.644666,7.805610,6.559336,0.000000,0.293462
0.020000,9.139187,10.447409,4.802090,7.936797,6.559336,0.000000,0.298252
