dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.441413,9.270175,0.000656,0.065593,3.279668,163.983399,6.281963
0.020000,4.441496,9.270175,0.000739,0.004158,-3.071754,-317.571101,6.282201
0.020000,4.441663,9.270174,0.000905,0.008313,0.207747,163.975034,6.282676
0.020000,4.444150,9.270175,0.003392,0.124353,5.801971,279.711215,0.000202
0.020000,4.454977,9.270182,0.014219,0.541344,20.849590,752.380935,0.001151
0.020000,4.468510,9.270206,0.027753,0.676671,6.766322,-704.163399,0.002336
0.020000,4.484749,9.270255,0.043992,0.811960,6.764438,-0.094162,0.003756
0.020000,4.503694,9.270342,0.062937,0.947267,6.765346,0.045391,0.005410
0.020000,4.525344,9.270479,0.084588,1.082522,6.762788,-0.127892,0.007297
0.020000,4.549699,9.270683,0.108943,1.217767,6.762215,-0.028691,0.009416
0.020000,4.576757,9.270969,0.136003,1.352974,6.760383,-0.091560,0.011765
0.020000,4.606518,9.271358,0.165766,1.488167,6.759646,-0.036854,0.014343
0.020000,4.638980,9.271869,0.198232,1.623321,6.757707,-0.096977,0.017148
0.020000,4.674142,9.272526,0.233401,1.758414,6.754633,-0.153690,0.020177
0.020000,4.712004,9.273351,0.271271,1.893521,6.755356,0.036130,0.023428
0.020000,4.752561,9.274372,0.311842,2.028527,6.750317,-0.251936,0.026898
0.020000,4.795813,9.275615,0.355112,2.163504,6.748813,-0.075208,0.030585
0.020000,4.841758,9.277111,0.401080,2.298426,6.746094,-0.135926,0.034485
0.020000,4.890391,9.278889,0.449746,2.433271,6.742261,-0.191670,0.038595
0.020000,4.941709,9.280981,0.501107,2.568081,6.740517,-0.087179,0.042910
0.020000,4.995710,9.283422,0.555163,2.702782,6.735067,-0.272499,0.047428
0.020000,5.052388,9.286247,0.611911,2.837429,6.732331,-0.136793,0.052143
0.020000,5.111740,9.289490,0.671351,2.971997,6.728385,-0.197300,0.057051
0.020000,5.173759,9.293191,0.733481,3.106464,6.723360,-0.251284,0.062146
0.020000,5.238439,9.297388,0.798297,3.240812,6.717386,-0.298703,0.067424
0.020000,5.305775,9.302119,0.865799,3.375107,6.714778,-0.130358,0.072877
0.020000,5.375759,9.307427,0.935984,3.509251,6.707194,-0.379204,0.078500
0.020000,5.448383,9.313351,1.008850,3.643286,6.701740,-0.272742,0.084286
0.020000,5.523640,9.319935,1.084394,3.777191,6.695270,-0.323488,0.090227
0.020000,5.601520,9.327220,1.162613,3.910987,6.689758,-0.275612,0.096317
0.020000,5.682012,9.335251,1.243505,4.044608,6.681074,-0.434191,0.102547
0.020000,5.765108,9.344070,1.327068,4.178112,6.675194,-0.294001,0.108908
0.020000,5.850795,9.353721,1.413297,4.311442,6.666495,-0.434939,0.115393
0.020000,5.939062,9.364247,1.502189,4.444615,6.658685,-0.390491,0.121990
0.020000,6.029896,9.375693,1.593741,4.577617,6.650095,-0.429485,0.128692
0.020000,6.123283,9.388102,1.687950,4.710431,6.640657,-0.471905,0.135487
0.020000,6.219211,9.401516,1.784811,4.843064,6.631655,-0.450096,0.142364
0.020000,6.317665,9.415978,1.884321,4.975507,6.622179,-0.473815,0.149313
0.020000,6.418629,9.431530,1.986476,5.107748,6.612054,-0.506241,0.156322
0.020000,6.522089,9.448211,2.091272,5.239776,6.601389,-0.533250,0.163380
0.020000,6.628027,9.466062,2.198703,5.371587,6.590527,-0.543089,0.170473
0.020000,6.736428,9.485122,2.308767,5.503180,6.579681,-0.542301,0.177589
0.020000,6.847274,9.505426,2.421458,5.634546,6.568268,-0.570678,0.184716
0.020000,6.960550,9.527011,2.536771,5.765675,6.556463,-0.590225,0.191839
0.020000,7.076237,9.549909,2.654703,5.896567,6.544605,-0.592910,0.198946
0.020000,7.194318,9.574153,2.775247,6.027211,6.532184,-0.621059,0.206022
0.020000,7.314776,9.599771,2.898399,6.157608,6.519848,-0.616794,0.213052
0.020000,7.437594,9.626792,3.024154,6.287749,6.507067,-0.639047,0.220023
